policy,condition,seed,cell,episode,n_frames,duration_s,max_dev_deg,departed,latency_s,deg_per_step,peak_deg_step,exec_s,success,failure_mode,regrasp,instance
clean-seed2000,clean,2000,new_positions,3,1151,38.33333206176758,112.83,True,32.5,0.7386,7.111,5.83,0,timeout_other,,E1
clean-seed2000,clean,2000,new_positions,4,1151,38.33333206176758,8.98,False,,,,,0,no_departure,,E2
clean-seed2000,clean,2000,new_positions,5,1151,38.33333206176758,8.51,False,,,,,0,no_departure,,E2
clean-seed2000,clean,2000,new_positions,6,1151,38.33333206176758,6.76,False,,,,,0,no_departure,,E2
clean-seed2000,clean,2000,new_positions,7,1151,38.33333206176758,7.69,False,,,,,0,no_departure,,E3
clean-seed2000,clean,2000,new_positions,8,1151,38.33333206176758,115.04,True,23.93,0.7272,6.976,14.4,0,timeout_other,,E3
clean-seed2000,clean,2000,new_positions,9,1150,38.29999923706055,113.56,True,9.3,0.7261,8.211,29.0,0,timeout_other,,E3
clean-seed2000,clean,2000,new_positions,10,1151,38.33333206176758,110.47,True,3.83,0.7277,7.408,34.5,0,timeout_other,,E4
clean-seed2000,clean,2000,new_positions,11,1148,38.233333587646484,110.84,True,7.8,0.7249,17.682,30.43,0,timeout_other,,E4
clean-seed2000,clean,2000,new_positions,12,1151,38.33333206176758,107.92,True,15.7,0.6929,7.564,22.63,0,timeout_other,,E4
clean-seed2000,clean,2000,new_positions,13,1151,38.33333206176758,112.19,True,19.53,0.7198,9.686,18.8,0,timeout_other,,E5
clean-seed2000,clean,2000,new_positions,14,1149,38.266666412353516,107.91,True,29.43,0.7608,9.513,8.83,0,timeout_other,,E5
clean-seed2000,clean,2000,new_positions,15,1151,38.33333206176758,110.82,True,6.07,0.7038,7.477,32.27,0,timeout_other,,E5
clean-seed2000,clean,2000,reduced_lighting,1,1151,38.33333206176758,7.33,False,,,,,0,no_departure,,-
clean-seed2000,clean,2000,reduced_lighting,2,575,19.133333206176758,126.05,True,6.9,0.7913,6.604,12.23,1,success,,-
clean-seed2000,clean,2000,reduced_lighting,3,1151,38.33333206176758,123.89,True,7.23,0.7275,10.799,31.1,0,contact_no_grasp,,-
clean-seed2000,clean,2000,reduced_lighting,4,803,26.733333587646484,120.88,True,14.07,0.7527,6.121,12.67,1,success,,-
clean-seed2000,clean,2000,reduced_lighting,5,1151,38.33333206176758,116.51,True,31.43,0.7822,5.222,6.9,0,timeout_other,,-
clean-seed2000,clean,2000,reduced_lighting,6,1150,38.29999923706055,94.73,True,35.9,0.8702,7.072,2.4,0,timeout_other,,-
clean-seed2000,clean,2000,reduced_lighting,7,696,23.16666603088379,119.65,True,8.63,0.7323,7.772,14.53,1,success,,-
clean-seed2000,clean,2000,reduced_lighting,8,889,29.600000381469727,124.17,True,17.13,0.7427,7.085,12.47,1,success,,-
clean-seed2000,clean,2000,reduced_lighting,9,757,25.200000762939453,119.71,True,11.17,0.7597,6.747,14.03,1,success,,-
clean-seed2000,clean,2000,reduced_lighting,10,804,26.766666412353516,135.91,True,12.07,0.7648,7.386,14.7,1,success,,-
clean-seed2000,clean,2000,reduced_lighting,11,1151,38.33333206176758,123.31,True,5.13,0.6729,6.362,33.2,0,contact_no_grasp,,-
clean-seed2000,clean,2000,reduced_lighting,12,519,17.266666412353516,120.89,True,3.8,0.7677,7.379,13.47,1,success,,-
clean-seed2000,clean,2000,reduced_lighting,13,1149,38.266666412353516,123.49,True,3.83,0.6762,7.54,34.43,0,contact_no_grasp,,-
clean-seed2000,clean,2000,reduced_lighting,14,651,21.66666603088379,113.52,True,8.2,0.7879,5.865,13.47,1,success,,-
clean-seed2000,clean,2000,reduced_lighting,15,648,21.566667556762695,131.87,True,6.0,0.7493,8.509,15.57,1,success,,-
color,color,1000,different_object,1,401,13.333333015441895,151.15,True,0.83,0.9493,14.12,12.5,1,success,,-
color,color,1000,different_object,2,392,13.033333778381348,144.81,True,0.97,0.8706,6.821,12.07,1,success,,-
color,color,1000,different_object,3,401,13.333333015441895,139.6,True,1.77,0.8296,7.132,11.57,1,success,,-
color,color,1000,different_object,4,389,12.933333396911621,145.41,True,2.97,0.9544,7.498,9.97,1,success,,-
color,color,1000,different_object,5,385,12.800000190734863,143.86,True,1.33,0.8857,10.276,11.47,1,success,,-
color,color,1000,different_object,6,401,13.333333015441895,148.96,True,1.63,0.8461,11.04,11.7,1,success,,-
color,color,1000,different_object,7,353,11.733333587646484,146.46,True,0.87,0.9276,8.873,10.87,1,success,,-
color,color,1000,different_object,8,401,13.333333015441895,140.55,True,1.63,0.8872,10.298,11.7,1,success,,-
color,color,1000,different_object,9,413,13.733333587646484,138.88,True,2.57,0.8793,7.88,11.17,1,success,,-
color,color,1000,different_object,10,384,12.766666412353516,144.14,True,1.37,0.884,7.189,11.4,1,success,,-
color,color,1000,different_object,11,400,13.300000190734863,149.57,True,2.43,0.9219,7.293,10.87,1,success,,-
color,color,1000,different_object,12,392,13.033333778381348,143.46,True,2.07,0.9352,7.199,10.97,1,success,,-
color,color,1000,different_object,13,401,13.333333015441895,144.95,True,1.57,0.9155,10.228,11.77,1,success,,-
color,color,1000,different_object,14,340,11.300000190734863,134.5,True,0.83,0.8752,7.12,10.47,1,success,,-
color,color,1000,different_object,15,401,13.333333015441895,151.18,True,0.87,0.8629,8.679,12.47,1,success,,-
color,color,1000,distractors,1,403,13.399999618530273,147.89,True,0.9,0.8887,7.771,12.5,1,success,,-
color,color,1000,distractors,2,358,11.899999618530273,146.15,True,0.63,0.9611,8.795,11.27,1,success,,-
color,color,1000,distractors,3,403,13.399999618530273,152.86,True,0.9,0.9271,13.665,12.5,1,success,,-
color,color,1000,distractors,4,371,12.333333015441895,146.63,True,0.63,0.9387,7.33,11.7,1,success,,-
color,color,1000,distractors,5,418,13.899999618530273,146.98,True,0.43,0.8585,8.236,13.47,1,success,,-
color,color,1000,distractors,6,441,14.666666984558105,148.41,True,1.07,0.891,8.87,13.6,1,success,,-
color,color,1000,distractors,7,385,12.800000190734863,146.96,True,0.77,0.9243,8.163,12.03,1,success,,-
color,color,1000,distractors,8,434,14.433333396911621,140.33,True,0.7,0.8781,6.813,13.73,1,success,,-
color,color,1000,distractors,9,418,13.899999618530273,146.67,True,1.63,0.9002,8.522,12.27,1,success,,-
color,color,1000,distractors,10,414,13.766666412353516,147.72,True,2.1,0.8862,7.72,11.67,1,success,,-
color,color,1000,distractors,11,1151,38.33333206176758,133.93,True,1.0,0.6674,16.774,37.33,0,contact_no_grasp,,-
color,color,1000,distractors,12,429,14.266666412353516,155.06,True,1.33,0.9034,9.755,12.93,1,success,,-
color,color,1000,distractors,13,394,13.100000381469727,141.5,True,0.67,0.8871,8.014,12.43,1,success,,-
color,color,1000,distractors,14,1151,38.33333206176758,135.69,True,0.63,0.6421,13.53,37.7,0,contact_no_grasp,,-
color,color,1000,distractors,15,475,15.800000190734863,149.04,True,1.47,0.8828,8.752,14.33,1,success,,-
color,color,1000,in_distribution,1,355,11.800000190734863,145.87,True,0.73,0.906,9.95,11.07,1,success,,-
color,color,1000,in_distribution,2,464,15.433333396911621,147.28,True,3.03,0.8927,9.414,12.4,1,success,,-
color,color,1000,in_distribution,3,431,14.333333015441895,145.67,True,0.63,0.8808,8.529,13.7,1,success,,-
color,color,1000,in_distribution,4,635,21.133333206176758,146.31,True,0.8,0.8331,9.447,20.33,1,success,,-
color,color,1000,in_distribution,5,405,13.466666221618652,145.06,True,0.83,0.8644,11.727,12.63,1,success,,-
color,color,1000,in_distribution,6,351,11.666666984558105,146.39,True,0.67,0.9462,8.99,11.0,1,success,,-
color,color,1000,in_distribution,7,380,12.633333206176758,146.14,True,0.83,0.8984,10.686,11.8,1,success,,-
color,color,1000,in_distribution,8,1146,38.16666793823242,138.44,True,0.77,0.7163,13.01,37.4,0,contact_no_grasp,,-
color,color,1000,in_distribution,9,425,14.133333206176758,143.12,True,0.97,0.8529,8.142,13.17,1,success,,-
color,color,1000,in_distribution,10,446,14.833333015441895,148.09,True,1.53,0.856,6.749,13.3,1,success,,-
color,color,1000,in_distribution,11,1148,38.233333587646484,128.12,True,0.6,0.6767,12.195,37.63,0,grasp_drop,,-
color,color,1000,in_distribution,12,400,13.300000190734863,149.23,True,1.5,0.8516,8.101,11.8,1,success,,-
color,color,1000,in_distribution,13,343,11.399999618530273,142.65,True,0.6,0.8554,8.577,10.8,1,success,,-
color,color,1000,in_distribution,14,401,13.333333015441895,144.28,True,1.03,0.8793,19.515,12.3,1,success,,-
color,color,1000,in_distribution,15,395,13.133333206176758,143.77,True,2.0,0.8586,8.093,11.13,1,success,,-
color,color,1000,new_positions,1,1149,38.266666412353516,139.89,True,2.23,0.5504,11.672,36.03,0,timeout_other,,E1
color,color,1000,new_positions,2,1149,38.266666412353516,139.04,True,1.83,0.5499,13.057,36.43,0,timeout_other,,E1
color,color,1000,new_positions,3,1151,38.33333206176758,141.67,True,4.4,0.5705,20.109,33.93,0,timeout_other,,E1
